nome, ocorrências, tipo, processo
3A SUB - SECCAO DA OAB,1,REQTE,ADPF0075
8A SUPERINTENDENCIA REGIONAL DA POLICIA RODOVIARIA FEDERAL EM SANTA CATARINA,1,INTDO,ADI3747
A. ANGELONI & CIA. LTDA,1,AMICUS,ADI5882
AB SERVICOS E TRANSPORTES URGENTES LTDA,1,INTDO,ADPF0519
ABRAMED,1,AMICUS,ADI6362
ACADEMIA BRASILEIRA DE CIENCIAS,1,INTDO,ADI1923
ACADEMIA BRASILEIRA DE DIREITO ELEITORAL E POLITICO - ABRADEP,1,AMICUS,ADI5617
ACADEMIA BRASILEIRA DE LETRAS,1,AMICUS,ADI4815
ACAO EDUCATIVA ASSESSORIA PESQUISA E INFORMACAO,4,AMICUS,ADI5537
ACAO EDUCATIVA ASSESSORIA PESQUISA E INFORMACAO,4,AMICUS,ADPF0466
ACAO EDUCATIVA ASSESSORIA PESQUISA E INFORMACAO,4,AMICUS,ADPF0467
ACAO EDUCATIVA ASSESSORIA PESQUISA E INFORMACAO,4,AMICUS,ADPF0522
"ACAO EDUCATIVA ASSESSORIA, PESQUISA E INFORMACAO",4,AMICUS,ADI4439
"ACAO EDUCATIVA ASSESSORIA, PESQUISA E INFORMACAO",4,AMICUS,ADPF0461
"ACAO EDUCATIVA ASSESSORIA, PESQUISA E INFORMACAO",4,INTDO,ADI3729
"ACAO EDUCATIVA ASSESSORIA, PESQUISA E INFORMACAO",4,INTDO,ADI3874
"ACAO EDUCATIVA, ASSESSORIA, PESQUISA E INFORMACAO",3,AMICUS,ADPF0460
"ACAO EDUCATIVA, ASSESSORIA, PESQUISA E INFORMACAO",3,AMICUS,ADPF0465
"ACAO EDUCATIVA, ASSESSORIA, PESQUISA E INFORMACAO",3,AMICUS,ADPF0600
ACRE,63,AMICUS,ADI4332
ACRE,63,AMICUS,ADI4449
ACRE,63,AMICUS,ADI5039
ACRE,63,AMICUS,ADI5100
ACRE,63,AMICUS,ADI5186
ACRE,63,AMICUS,ADI5296
ACRE,63,AMICUS,ADI5334
ACRE,63,AMICUS,ADI5492
ACRE,63,AMICUS,ADI5534
ACRE,63,AMICUS,ADI5737
ACRE,63,AMICUS,ADI5773
ACRE,63,AMICUS,ADI5807
ACRE,63,AMICUS,ADI5857
ACRE,63,AMICUS,ADI5866
ACRE,63,AMICUS,ADI6135
ACRE,63,AMICUS,ADI6158
ACRE,63,AMICUS,ADI6159
ACRE,63,AMICUS,ADI6164
ACRE,63,AMICUS,ADI6166
ACRE,63,AMICUS,ADI6167
ACRE,63,AMICUS,ADI6169
ACRE,63,AMICUS,ADI6170
ACRE,63,AMICUS,ADI6182
ACRE,63,AMICUS,ADI6183
ACRE,63,AMICUS,ADI6556
ACRE,63,AMICUS,ADPF0357
ACRE,63,AMICUS,ADPF0427
ACRE,63,AMICUS,ADPF0493
ACRE,63,AMICUS,ADPF0597
ACRE,63,AMICUS,ADPF0665
ACRE,63,INTDO,ADI0269
ACRE,63,INTDO,ADI0301
ACRE,63,INTDO,ADI0628
ACRE,63,INTDO,ADI0717
ACRE,63,INTDO,ADI2516
ACRE,63,INTDO,ADI3127
ACRE,63,INTDO,ADI3333
ACRE,63,INTDO,ADI3609
ACRE,63,INTDO,ADI3661
ACRE,63,INTDO,ADI3722
ACRE,63,INTDO,ADI3873
ACRE,63,INTDO,ADI3988
ACRE,63,INTDO,ADI4461
ACRE,63,INTDO,ADI4497
ACRE,63,INTDO,ADI4628
ACRE,63,INTDO,ADI4713
ACRE,63,INTDO,ADI4969
ACRE,63,INTDO,ADI4971
ACRE,63,INTDO,ADI5160
ACRE,63,INTDO,ADI5338
ACRE,63,INTDO,ADI5600
ACRE,63,INTDO,ADI5601
ACRE,63,INTDO,ADI6163
ACRE,63,INTDO,ADPF0347
ACRE,63,INTDO,ADPF0671
ACRE,63,INTDO,ADPF0684
ACRE,63,INTDO,ADPF0743
ACRE,63,REQTE,ADI0196
ACRE,63,REQTE,ADI0604
ACRE,63,REQTE,ADI0703
ACRE,63,REQTE,ADI0717
ACRE,63,REQTE,ADI0904
ACRE,63,REQTE,ADI5628
ADALBERTO DE MORAES FILHO,1,REQTE,ADI3822
ADELMAR BARROS PEREIRA,1,REQTE,ADI3492
ADEMIR CORREA,1,REQTE,ADI4037
ADVOGADO - GERAL DA UNIAO,6,INTDO,ADI3493
ADVOGADO - GERAL DA UNIAO,6,REQTE,ADI4486
ADVOGADO - GERAL DA UNIAO,6,REQTE,ADI4487
ADVOGADO - GERAL DA UNIAO,6,REQTE,ADI4488
ADVOGADO - GERAL DA UNIAO,6,REQTE,ADI4527
ADVOGADO - GERAL DA UNIAO,6,REQTE,ADI4528
AFONSO CORNELIO MORAIS LAMOUNIER,1,INTDO,ADI4053
AFONSO SILVA MENDES,1,INTDO,ADPF0033
AGENCIA DE NOTICIAS DOS DIREITOS DA INFANCIA - ANDI,1,AMICUS,ADI2404
AGENCIA NACIONAL DE AGUAS - ANA,1,AMICUS,ADI5993
AGENCIA NACIONAL DE AVIACAO CIVIL - ANAC,1,AMICUS,ADI4226
AGENCIA NACIONAL DE ENERGIA ELETRICA,1,AMICUS,ADI5877
AGENCIA NACIONAL DE ENERGIA ELETRICA - ANEEL,9,AMICUS,ADI4226
AGENCIA NACIONAL DE ENERGIA ELETRICA - ANEEL,9,AMICUS,ADI4281
AGENCIA NACIONAL DE ENERGIA ELETRICA - ANEEL,9,AMICUS,ADI4717
AGENCIA NACIONAL DE ENERGIA ELETRICA - ANEEL,9,AMICUS,ADI5374
AGENCIA NACIONAL DE ENERGIA ELETRICA - ANEEL,9,AMICUS,ADI5489
AGENCIA NACIONAL DE ENERGIA ELETRICA - ANEEL,9,AMICUS,ADI6376
AGENCIA NACIONAL DE ENERGIA ELETRICA - ANEEL,9,AMICUS,ADI6406
AGENCIA NACIONAL DE ENERGIA ELETRICA - ANEEL,9,INTDO,ADPF0180
AGENCIA NACIONAL DE ENERGIA ELETRICA - ANEEL,9,INTDO,ADPF0287
AGENCIA NACIONAL DE SAUDE SUPLEMENTAR - ANS,3,AMICUS,ADI4226
AGENCIA NACIONAL DE SAUDE SUPLEMENTAR - ANS,3,INTDO,ADI5504
AGENCIA NACIONAL DE SAUDE SUPLEMENTAR - ANS,3,INTDO,ADPF0532
AGENCIA NACIONAL DE TELECOMUNICACOES - ANATEL,2,AMICUS,ADI4369
AGENCIA NACIONAL DE TELECOMUNICACOES - ANATEL,2,AMICUS,ADI6482
AGENCIA NACIONAL DE TRANSPORTES AQUAVIARIOS - ANTAQ,2,AMICUS,ADI4226
AGENCIA NACIONAL DE TRANSPORTES AQUAVIARIOS - ANTAQ,2,INTDO,ADPF0139
AGENCIA NACIONAL DE TRANSPORTES TERRESTRES - ANTT,4,AMICUS,ADI4226
AGENCIA NACIONAL DE TRANSPORTES TERRESTRES - ANTT,4,AMICUS,ADI5549
AGENCIA NACIONAL DE TRANSPORTES TERRESTRES - ANTT,4,AMICUS,ADI6270
AGENCIA NACIONAL DE TRANSPORTES TERRESTRES - ANTT,4,INTDO,ADPF0179
AGENCIA NACIONAL DE VIGILANCIA SANITARIA,1,AMICUS,ADI5779
AGENCIA NACIONAL DE VIGILANCIA SANITARIA - ANVISA,3,AMICUS,ADI4226
AGENCIA NACIONAL DE VIGILANCIA SANITARIA - ANVISA,3,AMICUS,ADI4234
AGENCIA NACIONAL DE VIGILANCIA SANITARIA - ANVISA,3,INTDO,ADI5543
AGENCIA NACIONAL DO CINEMA - ANCINE,1,AMICUS,ADI4226
"AGENCIA NACIONAL DO PETROLEO, GAS NATURAL E BIOCOMBUSTIVEIS - ANP",1,AMICUS,ADI4226
AGRIMENSORES ASSOCIADOS - ASSOC. DE AGRIMENSURA DO OESTE DE MINAS GERAIS,1,REQTE,ADPF0525
AL/ACRE,34,INTDO,ADI0196
AL/ACRE,34,INTDO,ADI0301
AL/ACRE,34,INTDO,ADI0506
AL/ACRE,34,INTDO,ADI0604
AL/ACRE,34,INTDO,ADI0628
AL/ACRE,34,INTDO,ADI0703
AL/ACRE,34,INTDO,ADI0717
AL/ACRE,34,INTDO,ADI0904
AL/ACRE,34,INTDO,ADI1017
AL/ACRE,34,INTDO,ADI2076
AL/ACRE,34,INTDO,ADI3333
AL/ACRE,34,INTDO,ADI3437
AL/ACRE,34,INTDO,ADI3609
AL/ACRE,34,INTDO,ADI3661
AL/ACRE,34,INTDO,ADI3722
AL/ACRE,34,INTDO,ADI3873
AL/ACRE,34,INTDO,ADI3988
AL/ACRE,34,INTDO,ADI4461
AL/ACRE,34,INTDO,ADI4497
AL/ACRE,34,INTDO,ADI4553
AL/ACRE,34,INTDO,ADI4764
AL/ACRE,34,INTDO,ADI4954
AL/ACRE,34,INTDO,ADI4969
AL/ACRE,34,INTDO,ADI4971
AL/ACRE,34,INTDO,ADI5160
AL/ACRE,34,INTDO,ADI5338
AL/ACRE,34,INTDO,ADI5341
AL/ACRE,34,INTDO,ADI5600
AL/ACRE,34,INTDO,ADI5601
AL/ACRE,34,INTDO,ADI5662
AL/ACRE,34,INTDO,ADI6518
AL/ACRE,34,INTDO,ADI6616
AL/ACRE,34,INTDO,ADI6648
AL/ACRE,34,INTDO,ADPF0745
AL/ALAGOAS,84,INTDO,ADI0063
AL/ALAGOAS,84,INTDO,ADI0127
AL/ALAGOAS,84,INTDO,ADI0128
AL/ALAGOAS,84,INTDO,ADI0276
AL/ALAGOAS,84,INTDO,ADI0362
AL/ALAGOAS,84,INTDO,ADI0475
AL/ALAGOAS,84,INTDO,ADI0564
AL/ALAGOAS,84,INTDO,ADI0621
AL/ALAGOAS,84,INTDO,ADI0668
AL/ALAGOAS,84,INTDO,ADI0999
AL/ALAGOAS,84,INTDO,ADI1016
AL/ALAGOAS,84,INTDO,ADI1047
AL/ALAGOAS,84,INTDO,ADI1222
AL/ALAGOAS,84,INTDO,ADI1328
AL/ALAGOAS,84,INTDO,ADI1329
AL/ALAGOAS,84,INTDO,ADI1379
AL/ALAGOAS,84,INTDO,ADI1380
AL/ALAGOAS,84,INTDO,ADI1381
AL/ALAGOAS,84,INTDO,ADI1449
AL/ALAGOAS,84,INTDO,ADI1519
AL/ALAGOAS,84,INTDO,ADI1578
AL/ALAGOAS,84,INTDO,ADI1663
AL/ALAGOAS,84,INTDO,ADI1673
AL/ALAGOAS,84,INTDO,ADI1828
AL/ALAGOAS,84,INTDO,ADI1881
AL/ALAGOAS,84,INTDO,ADI2118
AL/ALAGOAS,84,INTDO,ADI2122
AL/ALAGOAS,84,INTDO,ADI2191
AL/ALAGOAS,84,INTDO,ADI2322
AL/ALAGOAS,84,INTDO,ADI2329
AL/ALAGOAS,84,INTDO,ADI2333
AL/ALAGOAS,84,INTDO,ADI2363
AL/ALAGOAS,84,INTDO,ADI2364
AL/ALAGOAS,84,INTDO,ADI2373
AL/ALAGOAS,84,INTDO,ADI2393
AL/ALAGOAS,84,INTDO,ADI2450
AL/ALAGOAS,84,INTDO,ADI2458
AL/ALAGOAS,84,INTDO,ADI2562
AL/ALAGOAS,84,INTDO,ADI2593
AL/ALAGOAS,84,INTDO,ADI2620
AL/ALAGOAS,84,INTDO,ADI2629
AL/ALAGOAS,84,INTDO,ADI2654
AL/ALAGOAS,84,INTDO,ADI2895
AL/ALAGOAS,84,INTDO,ADI2941
AL/ALAGOAS,84,INTDO,ADI3049
AL/ALAGOAS,84,INTDO,ADI3189
AL/ALAGOAS,84,INTDO,ADI3765
AL/ALAGOAS,84,INTDO,ADI3804
AL/ALAGOAS,84,INTDO,ADI4148
AL/ALAGOAS,84,INTDO,ADI4161
AL/ALAGOAS,84,INTDO,ADI4414
AL/ALAGOAS,84,INTDO,ADI4449
AL/ALAGOAS,84,INTDO,ADI4502
AL/ALAGOAS,84,INTDO,ADI4659
AL/ALAGOAS,84,INTDO,ADI4734
AL/ALAGOAS,84,INTDO,ADI4766
AL/ALAGOAS,84,INTDO,ADI4827
AL/ALAGOAS,84,INTDO,ADI4897
AL/ALAGOAS,84,INTDO,ADI4928
AL/ALAGOAS,84,INTDO,ADI4941
AL/ALAGOAS,84,INTDO,ADI4945
AL/ALAGOAS,84,INTDO,ADI4959
AL/ALAGOAS,84,INTDO,ADI5004
AL/ALAGOAS,84,INTDO,ADI5026
AL/ALAGOAS,84,INTDO,ADI5027
AL/ALAGOAS,84,INTDO,ADI5137
AL/ALAGOAS,84,INTDO,ADI5139
AL/ALAGOAS,84,INTDO,ADI5168
AL/ALAGOAS,84,INTDO,ADI5177
AL/ALAGOAS,84,INTDO,ADI5378
AL/ALAGOAS,84,INTDO,ADI5379
AL/ALAGOAS,84,INTDO,ADI5455
AL/ALAGOAS,84,INTDO,ADI5484
AL/ALAGOAS,84,INTDO,ADI5537
AL/ALAGOAS,84,INTDO,ADI6054
AL/ALAGOAS,84,INTDO,ADI6179
AL/ALAGOAS,84,INTDO,ADI6181
AL/ALAGOAS,84,INTDO,ADI6226
AL/ALAGOAS,84,INTDO,ADI6397
